,Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
178,Marcus Smart,MEM,UTA,W,26.03,3,11,0.273,1,6,0.167,4,4,1.0,3,2,5,1,1,0,2,4,11,5.3,2024-10-23
179,Ben Simmons,BRK,ATL,L,24.2,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,8,0,1,6,5,6,5.0,2024-10-23
180,Ricky Council,PHI,MIL,L,9.0,1,2,0.5,1,1,1.0,4,4,1.0,0,1,1,0,0,0,1,1,7,4.9,2024-10-23
181,Kai Jones,LAC,PHO,L,13.0,3,5,0.6,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,2,6,4.9,2024-10-23
182,Bogdan Bogdanović,ATL,BRK,W,27.83,2,6,0.333,2,6,0.333,2,2,1.0,0,2,2,2,0,2,2,3,8,4.8,2024-10-23
183,Seth Curry,CHO,HOU,W,26.33,2,5,0.4,2,3,0.667,1,3,0.333,0,2,2,1,0,1,0,2,7,4.7,2024-10-23
184,Lonzo Ball,CHI,NOP,L,13.65,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,4,0,0,1,2,5,4.6,2024-10-23
185,Oso Ighodaro,PHO,LAC,W,12.23,1,1,1.0,0,0,0.0,0,0,0.0,2,4,6,0,0,1,0,1,2,4.6,2024-10-23
186,Monte Morris,PHO,LAC,W,12.55,2,5,0.4,0,2,0.0,1,2,0.5,0,1,1,2,1,0,0,0,5,4.6,2024-10-23
187,Brice Sensabaugh,UTA,MEM,L,12.32,1,2,0.5,0,0,0.0,1,2,0.5,2,0,2,0,2,0,0,1,3,4.6,2024-10-23
188,Ron Holland,DET,IND,L,15.3,2,6,0.333,0,3,0.0,2,2,1.0,1,2,3,0,2,0,1,1,6,4.5,2024-10-23
189,Kevon Looney,GSW,POR,W,14.08,0,2,0.0,0,0,0.0,2,2,1.0,3,3,6,2,1,1,1,3,2,4.5,2024-10-23
190,Moussa Diabaté,CHO,HOU,W,14.98,1,4,0.25,0,0,0.0,0,0,0.0,2,3,5,0,1,2,0,0,2,4.3,2024-10-23
191,Tari Eason,HOU,CHO,L,12.88,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,2,2,0,0,1,2,4.3,2024-10-23
192,James Wiseman,IND,DET,W,4.63,2,4,0.5,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,6,4.3,2024-10-23
193,John Collins,UTA,MEM,L,18.32,5,12,0.417,0,3,0.0,1,1,1.0,1,4,5,0,1,1,2,5,11,4.2,2024-10-23
194,Sam Merrill,CLE,TOR,W,16.07,2,4,0.5,1,3,0.333,2,2,1.0,0,0,0,1,0,0,0,4,7,4.1,2024-10-23
195,Bruno Fernando,TOR,CLE,L,15.42,3,6,0.5,0,0,0.0,0,0,0.0,2,5,7,1,0,0,1,4,6,4.0,2024-10-23
196,Tyler Smith,MIL,PHI,W,2.22,2,3,0.667,1,2,0.5,0,0,0.0,1,0,1,0,0,0,0,1,5,4.0,2024-10-23
197,Patrick Williams,CHI,NOP,L,24.07,2,7,0.286,1,4,0.25,1,2,0.5,2,1,3,3,0,1,2,0,6,4.0,2024-10-23
198,Jared McCain,PHI,MIL,L,3.87,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,4,3.7,2024-10-23
199,Dennis Schröder,BRK,ATL,L,34.33,5,16,0.313,2,6,0.333,1,2,0.5,0,3,3,7,1,0,5,4,13,3.6,2024-10-23
200,Jonathan Isaac,ORL,MIA,W,11.45,1,4,0.25,1,2,0.5,0,2,0.0,2,1,3,0,1,2,0,1,3,3.5,2024-10-23
201,Vit Krejci,ATL,BRK,W,11.32,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,2,0,0,0,1,3,3.3,2024-10-23
202,Jose Alvarado,NOP,CHI,W,12.8,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,3,1,0,0,3,3,3.2,2024-10-23
203,Jake LaRavia,MEM,UTA,W,16.15,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,1,0,2,5,3.2,2024-10-23
204,Royce O'Neale,PHO,LAC,W,24.22,2,5,0.4,1,3,0.333,0,0,0.0,1,4,5,1,1,1,3,1,5,3.2,2024-10-23
205,Isaac Okoro,CLE,TOR,W,19.03,1,2,0.5,0,0,0.0,1,2,0.5,0,2,2,2,0,1,1,1,3,2.9,2024-10-23
206,Gui Santos,GSW,POR,W,5.12,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,1,0,0,0,1,3,2.9,2024-10-23
207,Isaiah Stewart,DET,IND,L,16.98,1,2,0.5,0,1,0.0,0,0,0.0,1,3,4,2,1,1,2,2,2,2.9,2024-10-23
208,Jimmy Butler,MIA,ORL,L,25.82,1,8,0.125,0,2,0.0,1,2,0.5,1,3,4,5,1,1,1,1,3,2.8,2024-10-23
209,Chris Duarte,CHI,NOP,L,1.77,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.7,2024-10-23
210,Keyonte George,UTA,MEM,L,31.07,3,18,0.167,1,6,0.167,5,9,0.556,0,2,2,7,0,0,1,2,12,2.7,2024-10-23
211,Pelle Larsson,MIA,ORL,L,6.25,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,2.7,2024-10-23
212,Marcus Sasser,DET,IND,L,3.12,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,2.7,2024-10-23
213,Garrett Temple,TOR,CLE,L,8.5,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,2,2,2.6,2024-10-23
214,Scottie Barnes,TOR,CLE,L,25.85,3,14,0.214,0,2,0.0,3,4,0.75,3,3,6,5,0,0,2,5,9,2.5,2024-10-23
215,Obi Toppin,IND,DET,W,16.03,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,3,2,2.5,2024-10-23
216,Duop Reath,POR,GSW,L,3.27,1,2,0.5,1,1,1.0,0,0,0.0,1,0,1,1,0,0,1,0,3,2.4,2024-10-23
217,Adem Bona,PHI,MIL,L,2.65,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,2.0,2024-10-23
218,Ulrich Chomche,TOR,CLE,L,4.5,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2.0,2024-10-23
219,Herbert Jones,NOP,CHI,W,32.68,1,6,0.167,0,3,0.0,0,0,0.0,1,3,4,2,2,0,0,3,2,2.0,2024-10-23
220,KJ Martin,PHI,MIL,L,15.07,1,3,0.333,0,0,0.0,1,2,0.5,2,3,5,0,0,0,0,3,3,2.0,2024-10-23
221,Julian Phillips,CHI,NOP,L,11.53,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2,2.0,2024-10-23
222,Craig Porter,CLE,TOR,W,8.5,2,5,0.4,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,4,2.0,2024-10-23
223,Donovan Clingan,POR,GSW,L,12.58,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,1,1,1,1,2,1.9,2024-10-23
224,Jonathan Kuminga,GSW,POR,W,19.52,3,9,0.333,0,2,0.0,4,6,0.667,1,3,4,1,0,1,4,3,10,1.9,2024-10-23
225,Jaylon Tyson,CLE,TOR,W,6.67,1,1,1.0,1,1,1.0,1,2,0.5,0,2,2,1,0,0,2,2,4,1.8,2024-10-23
226,A.J. Green,MIL,PHI,W,4.07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1.7,2024-10-23
227,Davion Mitchell,TOR,CLE,L,24.55,4,10,0.4,0,3,0.0,0,0,0.0,0,0,0,3,2,0,5,0,8,1.7,2024-10-23
228,Dalano Banton,POR,GSW,L,8.0,1,4,0.25,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,3,1.6,2024-10-23
229,Kentavious Caldwell-Pope,ORL,MIA,W,25.15,0,5,0.0,0,5,0.0,3,3,1.0,1,0,1,2,1,2,2,1,3,1.6,2024-10-23
230,Jarace Walker,IND,DET,W,6.35,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,1,0,0,1,2,3,1.6,2024-10-23
231,Cam Whitmore,HOU,CHO,L,8.02,2,4,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,1.6,2024-10-23
232,Jaylen Wells,MEM,UTA,W,23.45,2,6,0.333,2,5,0.4,0,2,0.0,0,0,0,1,1,0,0,5,6,1.5,2024-10-23
233,Nicolas Batum,LAC,PHO,L,23.62,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,2,1,0,1,3,2,1.4,2024-10-23
234,Karlo Matković,NOP,CHI,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,1.4,2024-10-23
235,Dru Smith,MIA,ORL,L,6.25,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,0,0,1.4,2024-10-23
236,Duncan Robinson,MIA,ORL,L,19.67,2,7,0.286,2,5,0.4,0,0,0.0,0,1,1,1,0,0,0,4,6,1.3,2024-10-23
237,Tristan Thompson,CLE,TOR,W,8.5,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,1.3,2024-10-23
238,Delon Wright,MIL,PHI,W,13.15,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,1.3,2024-10-23
239,Zach Edey,MEM,UTA,W,14.73,2,4,0.5,0,0,0.0,1,5,0.2,4,1,5,0,0,0,1,6,5,1.1,2024-10-23
240,Enrique Freeman,IND,DET,W,6.65,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,0,2,1.0,2024-10-23
241,Dalen Terry,CHI,NOP,L,1.77,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1.0,2024-10-23
242,Reed Sheppard,HOU,CHO,L,15.55,2,5,0.4,0,1,0.0,0,0,0.0,1,1,2,3,0,1,3,3,4,0.9,2024-10-23
243,Darius Garland,CLE,TOR,W,22.7,3,12,0.25,1,6,0.167,0,0,0.0,0,1,1,6,0,0,2,4,7,0.7,2024-10-23
244,Lester Quiñones,PHI,MIL,L,2.65,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,0.7,2024-10-23
245,Cody Williams,UTA,MEM,L,19.47,0,0,0.0,0,0,0.0,2,2,1.0,0,4,4,0,0,0,1,4,2,0.6,2024-10-23
246,Jakob Poeltl,TOR,CLE,L,26.15,2,6,0.333,0,0,0.0,2,4,0.5,3,6,9,2,0,0,5,4,6,0.5,2024-10-23
247,Ben Sheppard,IND,DET,W,6.3,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,2,0,0.5,2024-10-23
248,Zaccharie Risacher,ATL,BRK,W,19.0,2,8,0.25,1,4,0.25,2,4,0.5,1,0,1,0,0,0,1,2,7,0.3,2024-10-23
249,Patty Mills,UTA,MEM,L,16.07,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,0.2,2024-10-23
250,Jabari Walker,POR,GSW,L,7.28,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,2,0,0.2,2024-10-23
251,Vasilije Micić,CHO,HOU,W,16.55,2,9,0.222,1,3,0.333,0,0,0.0,2,3,5,1,1,0,3,1,5,0.1,2024-10-23
252,MarJon Beauchamp,MIL,PHI,W,0.62,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-23
253,Jeff Dowtin,PHI,MIL,L,2.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-23
254,Andre Jackson,MIL,PHI,W,1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-23
255,Caleb Houstan,ORL,MIA,W,5.35,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.1,2024-10-23
256,Brandin Podziemski,GSW,POR,W,24.93,0,5,0.0,0,4,0.0,0,0,0.0,4,3,7,4,1,0,3,3,0,-0.2,2024-10-23
257,Ryan Dunn,PHO,LAC,W,8.73,1,5,0.2,0,2,0.0,0,0,0.0,0,2,2,1,0,1,0,3,2,-0.3,2024-10-23
258,Ryan Rollins,MIL,PHI,W,1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2024-10-23
259,Brandon Clarke,MEM,UTA,W,13.68,1,5,0.2,0,2,0.0,0,0,0.0,1,2,3,1,0,0,1,1,2,-0.5,2024-10-23
260,AJ Johnson,MIL,PHI,W,1.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-23
261,Shake Milton,BRK,ATL,L,6.33,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-23
262,Matas Buzelis,CHI,NOP,L,4.7,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,-1.2,2024-10-23
263,Eric Gordon,PHI,MIL,L,22.47,1,6,0.167,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,-1.2,2024-10-23
264,Talen Horton-Tucker,CHI,NOP,L,7.52,0,1,0.0,0,0,0.0,0,2,0.0,0,2,2,1,0,0,1,0,0,-1.2,2024-10-23
265,Cory Joseph,ORL,MIA,W,5.35,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,2024-10-23
266,Kris Murray,POR,GSW,L,9.92,0,2,0.0,0,1,0.0,1,4,0.25,1,0,1,1,0,0,1,1,1,-1.6,2024-10-23
267,Tristan Da Silva,ORL,MIA,W,5.35,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,2024-10-23
268,Jett Howard,ORL,MIA,W,5.35,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.8,2024-10-23
269,Kel'el Ware,MIA,ORL,L,6.25,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1.8,2024-10-23
270,Kevin Porter,LAC,PHO,L,12.93,1,8,0.125,0,4,0.0,0,0,0.0,1,3,4,2,1,0,2,2,2,-2.0,2024-10-23
271,Dillon Brooks,HOU,CHO,L,31.42,1,6,0.167,0,3,0.0,0,0,0.0,1,2,3,0,0,0,0,4,2,-2.1,2024-10-23
272,Goga Bitadze,ORL,MIA,W,5.35,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,1,0,-2.5,2024-10-23
273,Cole Anthony,ORL,MIA,W,17.5,0,7,0.0,0,5,0.0,0,0,0.0,0,3,3,6,0,0,2,2,0,-2.6,2024-10-23
274,Antonio Reeves,NOP,CHI,W,1.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-3.1,2024-10-23
275,Simone Fontecchio,DET,IND,L,14.85,0,4,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,3,0,-4.3,2024-10-23
276,Chet Holmgren,OKC,DEN,W,35.78,11,18,0.611,0,5,0.0,3,5,0.6,4,10,14,5,2,4,2,2,25,27.3,2024-10-24
277,Julius Randle,MIN,SAC,W,34.82,13,17,0.765,5,6,0.833,2,3,0.667,0,5,5,4,0,0,3,3,33,26.0,2024-10-24
278,Shai Gilgeous-Alexander,OKC,DEN,W,36.2,11,24,0.458,2,6,0.333,4,5,0.8,2,5,7,8,2,3,2,2,28,25.0,2024-10-24
279,Jaylen Brown,BOS,WAS,W,30.3,10,20,0.5,3,6,0.5,4,5,0.8,1,7,8,3,4,0,2,1,27,23.1,2024-10-24
280,Klay Thompson,DAL,SAS,W,26.08,7,13,0.538,6,10,0.6,2,2,1.0,3,4,7,1,3,0,0,1,22,22.3,2024-10-24
281,Nikola Jokić,DEN,OKC,L,35.2,6,13,0.462,1,3,0.333,3,4,0.75,4,8,12,13,2,1,3,3,16,21.7,2024-10-24
282,Jayson Tatum,BOS,WAS,W,28.65,9,20,0.45,3,11,0.273,4,7,0.571,2,9,11,6,1,0,1,1,25,21.3,2024-10-24
283,Anthony Edwards,MIN,SAC,W,39.2,10,24,0.417,5,15,0.333,7,7,1.0,1,6,7,4,1,0,3,4,32,20.9,2024-10-24
284,Jordan Poole,WAS,BOS,L,32.48,9,17,0.529,6,11,0.545,2,2,1.0,0,1,1,4,4,1,4,3,26,20.3,2024-10-24
285,Luka Dončić,DAL,SAS,W,36.27,9,25,0.36,4,11,0.364,6,8,0.75,1,9,10,8,1,1,4,3,28,18.8,2024-10-24
286,DeMar DeRozan,SAC,MIN,L,42.53,7,18,0.389,0,2,0.0,12,14,0.857,1,7,8,2,1,0,2,0,26,18.6,2024-10-24
287,Keegan Murray,SAC,MIN,L,43.0,8,17,0.471,5,10,0.5,2,2,1.0,2,9,11,2,0,0,0,3,23,18.6,2024-10-24
288,Dereck Lively,DAL,SAS,W,27.78,6,8,0.75,0,0,0.0,3,5,0.6,4,7,11,6,1,0,2,4,15,17.5,2024-10-24
289,Domantas Sabonis,SAC,MIN,L,38.18,8,13,0.615,3,4,0.75,5,8,0.625,1,7,8,1,2,1,4,4,24,17.5,2024-10-24
290,Derrick White,BOS,WAS,W,29.27,6,11,0.545,4,7,0.571,3,4,0.75,1,3,4,4,1,0,1,1,19,17.3,2024-10-24
291,Naz Reid,MIN,SAC,W,26.52,6,10,0.6,4,7,0.571,3,3,1.0,0,13,13,3,0,0,2,4,19,16.8,2024-10-24
292,Julian Champagnie,SAS,DAL,L,27.32,7,12,0.583,4,8,0.5,0,0,0.0,2,5,7,3,1,2,3,1,18,16.4,2024-10-24
293,Jonas Valančiūnas,WAS,BOS,L,20.22,8,13,0.615,0,0,0.0,2,2,1.0,2,3,5,2,0,0,0,0,18,15.8,2024-10-24
294,Harrison Barnes,SAS,DAL,L,29.18,7,10,0.7,2,5,0.4,1,2,0.5,1,3,4,2,1,0,0,2,17,15.6,2024-10-24
295,Malik Monk,SAC,MIN,L,26.4,6,9,0.667,1,2,0.5,4,5,0.8,0,1,1,4,0,0,0,1,17,15.4,2024-10-24
296,Aaron Wiggins,OKC,DEN,W,19.52,7,9,0.778,1,2,0.5,0,0,0.0,0,6,6,1,0,2,1,1,15,14.0,2024-10-24
297,De'Aaron Fox,SAC,MIN,L,37.15,6,14,0.429,1,4,0.25,2,2,1.0,0,2,2,11,1,0,2,3,15,13.7,2024-10-24
298,Christian Braun,DEN,OKC,L,29.1,8,15,0.533,0,3,0.0,0,0,0.0,2,5,7,1,2,2,3,1,16,12.3,2024-10-24
299,Bilal Coulibaly,WAS,BOS,L,29.83,1,2,0.5,0,0,0.0,6,8,0.75,1,5,6,6,1,0,3,0,8,10.6,2024-10-24
300,Payton Pritchard,BOS,WAS,W,27.95,5,11,0.455,5,10,0.5,0,0,0.0,0,1,1,2,0,0,0,1,15,10.6,2024-10-24
301,Kyrie Irving,DAL,SAS,W,27.4,6,17,0.353,3,7,0.429,0,0,0.0,1,2,3,2,2,1,0,1,15,10.5,2024-10-24
302,Aaron Gordon,DEN,OKC,L,32.55,5,12,0.417,0,1,0.0,2,2,1.0,5,4,9,2,1,0,2,1,12,10.3,2024-10-24
303,Jeremy Sochan,SAS,DAL,L,27.03,6,11,0.545,1,2,0.5,5,7,0.714,2,4,6,2,0,0,4,4,18,10.3,2024-10-24
304,Neemias Queta,BOS,WAS,W,13.63,5,7,0.714,0,1,0.0,2,2,1.0,4,3,7,0,0,0,1,4,12,10.2,2024-10-24
305,Daniel Gafford,DAL,SAS,W,18.52,3,6,0.5,0,0,0.0,3,4,0.75,4,2,6,2,1,1,1,5,9,9.1,2024-10-24
306,P.J. Washington,DAL,SAS,W,26.32,4,11,0.364,2,7,0.286,1,2,0.5,2,3,5,2,1,0,0,1,11,8.8,2024-10-24
307,Michael Porter,DEN,OKC,L,32.17,5,17,0.294,3,10,0.3,2,2,1.0,1,7,8,2,1,0,1,2,15,8.5,2024-10-24
308,Jamal Murray,DEN,OKC,L,38.45,4,13,0.308,2,5,0.4,2,2,1.0,2,4,6,4,2,0,3,2,12,8.1,2024-10-24
309,Jaden Hardy,DAL,SAS,W,19.67,3,6,0.5,3,5,0.6,2,2,1.0,1,0,1,2,0,1,2,3,11,7.6,2024-10-24
310,Nickeil Alexander-Walker,MIN,SAC,W,18.32,3,5,0.6,3,5,0.6,0,0,0.0,0,1,1,2,0,0,1,0,9,7.4,2024-10-24
311,Marvin Bagley,WAS,BOS,L,9.62,4,7,0.571,0,1,0.0,0,2,0.0,4,2,6,1,0,0,1,0,8,7.0,2024-10-24
312,Victor Wembanyama,SAS,DAL,L,28.47,5,18,0.278,1,8,0.125,6,6,1.0,2,7,9,1,0,1,4,1,17,6.9,2024-10-24
313,Blake Wesley,SAS,DAL,L,8.87,2,3,0.667,0,0,0.0,2,2,1.0,0,0,0,2,0,0,0,0,6,6.1,2024-10-24
314,Xavier Tillman,BOS,WAS,W,15.43,3,4,0.75,2,3,0.667,0,0,0.0,0,1,1,1,0,0,1,1,8,6.0,2024-10-24
315,Stephon Castle,SAS,DAL,L,18.45,3,7,0.429,0,2,0.0,2,3,0.667,2,1,3,5,0,0,2,3,8,5.9,2024-10-24
316,Zach Collins,SAS,DAL,L,13.55,2,3,0.667,1,1,1.0,0,0,0.0,2,3,5,1,1,0,1,3,5,5.5,2024-10-24
317,Malaki Branham,SAS,DAL,L,5.98,3,5,0.6,1,3,0.333,0,0,0.0,0,2,2,0,0,0,0,0,7,5.3,2024-10-24
318,Ousmane Dieng,OKC,DEN,W,13.25,2,4,0.5,2,3,0.667,0,0,0.0,0,3,3,0,0,1,0,1,6,5.2,2024-10-24
319,Jared Butler,WAS,BOS,L,8.78,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,2,1,0,0,0,6,5.0,2024-10-24
320,Tre Jones,SAS,DAL,L,15.63,0,2,0.0,0,0,0.0,3,4,0.75,1,0,1,3,1,0,0,0,3,5.0,2024-10-24
321,Patrick Baldwin,WAS,BOS,L,8.07,3,6,0.5,1,3,0.333,0,0,0.0,1,1,2,1,0,0,0,2,7,4.9,2024-10-24
322,Corey Kispert,WAS,BOS,L,24.08,3,6,0.5,0,3,0.0,0,0,0.0,0,5,5,3,0,0,1,2,6,4.8,2024-10-24
323,Kyle Kuzma,WAS,BOS,L,27.65,6,16,0.375,0,5,0.0,0,0,0.0,0,2,2,1,1,1,1,1,12,4.8,2024-10-24
324,Chris Paul,SAS,DAL,L,28.77,1,6,0.167,1,4,0.25,0,0,0.0,0,7,7,8,1,0,2,3,3,4.7,2024-10-24
325,Luguentz Dort,OKC,DEN,W,28.58,2,7,0.286,0,2,0.0,1,1,1.0,1,1,2,0,3,1,0,3,5,4.4,2024-10-24
326,Russell Westbrook,DEN,OKC,L,21.25,2,10,0.2,1,6,0.167,1,4,0.25,1,4,5,5,1,2,2,0,6,4.4,2024-10-24
327,Mike Conley,MIN,SAC,W,27.33,2,9,0.222,2,7,0.286,0,0,0.0,1,1,2,4,0,1,0,2,6,4.2,2024-10-24
328,Maxi Kleber,DAL,SAS,W,15.4,1,3,0.333,1,1,1.0,0,0,0.0,0,4,4,1,0,1,0,1,3,3.5,2024-10-24
329,Cason Wallace,OKC,DEN,W,23.03,2,7,0.286,0,1,0.0,0,0,0.0,2,2,4,0,2,0,0,1,4,3.5,2024-10-24
330,Rudy Gobert,MIN,SAC,W,34.63,1,2,0.5,0,0,0.0,1,2,0.5,1,10,11,1,2,0,3,4,3,3.4,2024-10-24
331,Luke Kornet,BOS,WAS,W,16.22,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,4,4,3.4,2024-10-24
332,Keon Ellis,SAC,MIN,L,11.18,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,2,0,0,1,2,3.2,2024-10-24
333,Isaiah Joe,OKC,DEN,W,20.4,3,10,0.3,1,6,0.167,0,0,0.0,1,1,2,1,0,0,0,0,7,2.9,2024-10-24
334,Julian Strawther,DEN,OKC,L,17.25,3,6,0.5,0,2,0.0,0,0,0.0,0,0,0,1,1,0,1,2,6,2.9,2024-10-24
335,Charles Bassey,SAS,DAL,L,5.98,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,1,0,0,0,2.7,2024-10-24
336,Kyshawn George,WAS,BOS,L,20.28,2,6,0.333,0,4,0.0,0,0,0.0,0,3,3,2,1,0,0,3,4,2.7,2024-10-24
337,Jrue Holiday,BOS,WAS,W,22.75,1,4,0.25,0,1,0.0,5,5,1.0,0,2,2,1,0,0,2,3,7,2.7,2024-10-24
338,Donte DiVincenzo,MIN,SAC,W,26.65,4,10,0.4,1,6,0.167,0,0,0.0,1,0,1,2,0,0,2,3,9,2.5,2024-10-24
339,Keldon Johnson,SAS,DAL,L,24.78,3,9,0.333,1,3,0.333,0,0,0.0,0,4,4,2,0,0,2,0,7,2.5,2024-10-24
340,Dwight Powell,DAL,SAS,W,1.7,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,2.4,2024-10-24
341,Jaden Springer,BOS,WAS,W,5.55,0,1,0.0,0,0,0.0,1,2,0.5,2,1,3,1,0,0,0,0,1,2.3,2024-10-24
342,Alex Caruso,OKC,DEN,W,19.08,0,2,0.0,0,1,0.0,0,0,0.0,2,4,6,4,0,0,1,2,0,2.2,2024-10-24
343,Alex Len,SAC,MIN,L,5.67,1,1,1.0,0,0,0.0,1,2,0.5,0,2,2,0,0,1,1,1,3,2.2,2024-10-24
344,Trey Lyles,SAC,MIN,L,10.75,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,1,1,0,0,1,3,2.2,2024-10-24
345,Baylor Scheierman,BOS,WAS,W,8.07,1,3,0.333,0,2,0.0,2,2,1.0,0,1,1,0,0,0,0,1,4,2.2,2024-10-24
346,Peyton Watson,DEN,OKC,L,14.78,1,7,0.143,0,4,0.0,0,0,0.0,2,4,6,1,0,2,0,0,2,2.2,2024-10-24
347,Dario Šarić,DEN,OKC,L,11.03,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,2,1.9,2024-10-24
348,Anthony Gill,WAS,BOS,L,3.18,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,2,1.7,2024-10-24
349,Drew Peterson,BOS,WAS,W,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,2,1,0,0,1.7,2024-10-24
350,Jaden McDaniels,MIN,SAC,W,27.48,2,9,0.222,0,4,0.0,2,2,1.0,2,0,2,3,0,1,2,3,6,1.5,2024-10-24
351,Jalen Williams,OKC,DEN,W,33.72,5,16,0.313,2,8,0.25,0,1,0.0,1,2,3,3,0,2,5,3,12,1.0,2024-10-24
352,Alex Sarr,WAS,BOS,L,21.87,1,7,0.143,0,5,0.0,0,0,0.0,1,4,5,1,0,2,0,2,2,0.7,2024-10-24
353,Justin Champagnie,WAS,BOS,L,3.9,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,3,0,0.5,2024-10-24
354,Trey Alexander,DEN,OKC,L,1.63,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2024-10-24
355,Vlatko Čančar,DEN,OKC,L,1.63,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2024-10-24
356,Spencer Dinwiddie,DAL,SAS,W,2.95,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2024-10-24
